"","","","CustomerDetials(UPVC)-HiralGhelani","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"previouscall","Againfollowups","againcallreply","CID","CompanyName","ContactPerson","ContactNumber","OtherNumber","callreply","Email","Category","ServiceCategory","City","State","Country","Pincode","Address","Link",""
"19/1/2018","13/3/2018","notreceive","1","MeetBuilders","","281-2588770","notintrested","","mail@meetbuilders.com","builders","","rajkot","gujarat","india","360005","Prasang,150FeetRingRd&KalavadRd,Rajkot,Gujarat360005","",""
"","","notintrested","2","ShyamalBuilders","","09825155911","notintrested","","info@shyamalbuilders.com","","","rajkot","","","","nr.AmbicaTowenship,NanaMava,Rajkot,Gujarat360005","",""
"","Callafter2months","4vagecallback","3","DhanrajBuildersPrivateLimited","","02812480634","mailcompanyprofile&DVB","","info@dhanrajbuilders.com","","","rajkot","","","","10thFloor,DhanrajniComplex,DrYagnikRoad,DrYagnikRoad,Rajkot,Gujarat360001","http://www.dhanrajbuilders.com/",""
"","","theycallusifrequired","4","ShethBuildersPrivateLimited","0281-2580000","02812480808","callnotreceive","","mail@shethbuilders.com","","","rajkot","","","","TradeCenter,MainRoad,SardarNagar,SardarNagar,Rajkot,Gujarat360001","http://www.shethbuilders.com/",""
"","","","5","SamvednaBuildersPvt.Ltd.","","09992699926","alreadyhave","","","","","rajkot","","","","""Arihant"",Opp.AndhMahilaVikasGruh,DhebarRoad,Rajkot,Rajkot,Gujarat360002","http://samvedna-builders-pvtltd.business.site/",""
"","","notintrested","6","KotechaBuildersPvtLtd","","02812444074","callbackonmonday","","","","","rajkot","","","","128,StarPlaza,PhulchhabChowk,Rajkot,Gujarat360001","",""
"","calltomorrow","5vagecallback","7","PATELDEVELOPERS","","09898500200","callformeetingonmonday","","info@pateldevelopers.com","","","rajkot","","","","PearlPlaza,150FeetRingRd,RoyalPark,Rajkot,Gujarat360005","http://www.pateldevelopers.com/",""
"","","no.notavailable","8","kevalamkingdom","","07567519913","notintrested","","info@kevalambuilders.co.in","","","rajkot","","","","JamnagarRoad,KrishnaSociety,Madhapar,Rajkot,Gujarat360006","http://kevalambuilders.co.in/index.php?pid=cnt",""
"","","","9","SavanSymphony-SavanBuilder","","09979933633","notintrested","","","","","rajkot","","","","Raijya,OppRaijyavillage,YogiNagar,Rajkot,Gujarat360005","",""
"","","notrequired","10","ChandanInfrastructure(SiddhiGroup)","","09913620809","mailcompanyprofile&DVB","","info@chandaninfrastructure.com","","","rajkot","","","","""Siddhi""Flat,5,GujaratHousingBoard,,AksharMarg.,Rajkot,Gujarat360005","http://www.chandaninfrastructure.com/Contact.aspx",""
"","","","","","","","","","","","","","","","","","",""
"20/1/2018(mansi)","","notrequired","11","SuryodayDevlopersAndBuilders","","02812588916","notintrested","","","","","","","","","9BalajiComplex,BhagavatiHall,RaiyaRoad,RaiyaRoad,Rajkot,Gujarat360007","",""
"(*)=websitebutnotnetwork","","","12","RaviBuilders","","02812463364","callnotconnected","","","","","","","","","ShivamComplex,DrYagnikRoad,Opposite:jagnath,DrYagnikRoad,Rajkot,Gujarat360001","",""
"*","","","13","BuildersYogeshBharadwa","","09228282812","theycallusifrequiedinfuture","","","","","","","","","DharamNagar,Rajkot,Gujarat360005","",""
"","","callinapril","14","kalpataruproperties","","9099913086","mailcompanyprofile&DVB","","info@kalpataruproperties.com","","","","","","","150FeetRingRd,GoldenPark,Rajkot,Gujarat360005","http://www.kalpataruproperties.com/",""
"","","","15","OrbitBuildersPrivateLimited","","02812447700","callnotconnected","","","","","","","","","OrbitCenter,MotiTankiChowk,MotiTankiChowk,Rajkot,Gujarat360001","",""
"","","","16","RKBuildersPrivateLimited","","02812225827","callnotconnected","","","","","","","","","10,Kantiprakash2ndFloor,NearPoonamFurniture,DhebarRoad,DhebarRoad,Rajkot,Gujarat360002","",""
"","","callbackin12to1pmtomorrow","17","JBBuilders&Developers","","02812236661","callnotreceive","","","","","","","","","203,BhatiyaComplex,AshapuraRoad,AshapuraRoad,Rajkot,Gujarat360001","",""
"","","","18","BhuptaniAssociatesBuilders&Conractors","","09824079207","callnotconnected","","","","","","","","","207/CapitalMarket,22NewJagnath,ShriMahakaliTempleRoad,ShriMahakaliTempleRoad,Rajkot,Gujarat360001","",""
"","","","19","RonakEnterprise","","0281-2233199","notintrested","","ronakrajkot@rediffmail.com","","","","","","","UniversityRoad,JalaRamNagar,Rajkot,Gujarat360007","http://www.ronakrajkot.com/",""
"","","","20","AakashResidency","","","","","","","","","","","","B-108,NanaMauvaMainRd,SatyamPark,ShastriNagar,Rajkot,Gujarat360005","",""
"","","","21","TulsipatraFlat","","","","","","","","","","","","Rajkot,LaxmiNagar,Chandreshnagar,Rajkot,Gujarat360005","",""
"","","notrequired","22","jaliyanbuilders","","02812464544","callnotreceive","","","","","","","","","4-marutimanor,upperlavel,astronchowk,rajkot.,Rajkot,Gujarat360001","",""
"","","","23","HareshPViradiya","","09662530204","wrongno.","","","","","","","","","""PARISHRAM"",SardarnagarSociety,Street-2Corner,SardarnagarMainRoad,MavdiPlot,Rajkot,Gujarat360004","",""
"","","","24","RamBuilders","","09879454320","theycontactusifrequied","","","","","","","","","2,AakashGangaComplex,AminRoad,KotechaNagar,Rajkot,Gujarat360001","",""
"","","notrecive","25","JHPGalaxyGroup","","08141888000","callnotreceive","","info@jhpgalaxygroup.com","","","","","","","DwarkadhishComplexNearViraniHighSchool,TagoreRoad,Rajkot,Gujarat360002","http://jhpgalaxygroup.com/",""
"","","","26","RadheShyamBuilders&Developers","","09898055178","notintrested","","","","","","","","","NavkarComplex,3rdFloor,OppositeDulariSaree,DhebarRoad,DhebarRoad,Rajkot,Gujarat360002","",""
"","","","27","JaysukhGamdhaRajkot","","","","","","","","","","","","""HEERAPANNAPAN"",ShyamPark,KanaiyaHotelStreet,,RajkotRd,MotaMava,Gujarat360005","",""
"","","","28","ShreeBuildcon","","09825140435","callnotreceive","","","","","","","","","2/5,SadhuVaswaniRoad,VishwakarmaSociety,SadhuVaswaniRoad,VishwakarmaSociety,HariNagar,Rajkot,Gujarat360005","",""
"","","callusifrequired","29","KunalBuilders","","09879761579","callbackinevening","","","","","","","","","Opp.SilverHeights,Rajkot,Gujarat360001","",""
"","","","30","SatyarthPrakash","","09724992030","notrequied","","","","","","","","","Lakshmiwadi,BhaktiNagar,Rajkot,Gujarat360001","",""
"","","","31","AKSHARGROUP","Paras","9924622424","Fixmeetingon25/1/2018","","info@akshargroup.in","","","","","","","ShrijiNagar,Jalaram3150,RingRoad,Rajkot,Gujarat36005","http://akshargroup.in/",""
"","","","32","LexusAvenue","","07600094000","Fixmeetingon25/1/2018","","","","","","","","","EgaleNagarMainRoad,BehindAtmiyaCollege,SatyasaiMarg,Rajkot,Gujarat360005","",""
"","","","33","EVERCONDEVELOPERSPVT.LTD","","02812462057","waitingfortheirreply","","info@evercon.in","","","","","","","501,ShilpTower,TagoreRd,GIDCUdhyogNagar,BhaktiNagar,Rajkot,Gujarat360002","http://www.evercon.in",""
"","","","34","NeshasnalNavjivanSvaryantri","","09925455674","callnotreceive","","","","","","","","","Opp.R.M.C.ShopingSentar,NearFayarBriged,MavdiMainRoad,,Rajkot,Gujarat360004","",""
"","","","","","","","","","","","","","","","","","",""
"","","","13/3/2018","","","","","","","","","","","","","","",""
"","","","35","MalaniConstructionCo.","281–2454189.","281–2451381.","","","ho@malaniconstruction.com","","","","","","","MalaniComplex,58,KotechaNagar,KalawadRoad,Rajkot–360001,Gujarat–India","http://www.malaniconstruction.com/",""
"","","","36","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","Oilindustries","","","","","","","","","","","","","","","","",""
"","1","Ranioil-kaneriyaoilindustries","0281-2370511","0281-2370512","","","info@ranioil.com","","StreetNo.2,SamratIndustrialAreaOpp.GokuldhamSociety,BehindGondalRoadSTWorkshopRajkot-360004(Gujarat-INDIA)","http://www.ranioil.com/","","","","","","","",""
"","2","Shreegitaoil","91-2822–250345/250246/250231/250059","","","","info@shreegita.com","","PanchasarRoad,Morbi–363641,(Guj.)INDIA","http://www.shreegita.com/contact.php","","","","","","","",""
"","3","MangrolOilIndustries","09925131251","","","","","","VeravalShaper,SIDCMainRoad,SIDCMainRoad,Rajkot,Gujarat360001","","","","","","","","",""
"","4","RAJESHOILINDUSTRIESPVT.LTD","02812457313","02812457303","","","","","JunoMorbiRd,JaiNandanNagar,Rajkot,Gujarat360003","","","","","","","","",""
"","5","MahendraOilIndustries","02812465505","","","","","","BhaktiNagar,StationPlot,NearJ-pTower,TagoreRoad,StationPlot,Rajkot,Gujarat360002","","","","","","","","",""
"","6","ShreeRajmotiIndustries","09825084754","","","","","","5,BhavnagarRd,AradhanaSociety,ShivajiNagar,ShaktiIndustrialZone,Rajkot,Gujarat360003","","","","","","","","",""
"","7","chetanagroindustries","09825216014","281-2461782","","","chetanagro@gmail.com","","108,Atulcomplex,GondalRoad,Opp.BombayHotel,Rajkot,Rajkot,Gujarat360002","http://www.chetanagro.com/","","","","","","","",""
"","8","TINYTECHPLANTS","02812480166","","","","tinytech@tinytechindia.com","","TagoreRd,NearBhaktinagarRailwaystation,BhaktiNagar,Rajkot,Gujarat360002","","","","","","","","",""
